id,region,product,category,units_sold,revenue,satisfaction,order_date
1,North,Widget A,Hardware,45,2250.00,4.2,2024-01-15
2,South,Widget B,Hardware,32,1600.00,3.8,2024-01-16
3,East,Gizmo C,Software,78,7800.00,4.7,2024-01-18
4,West,Widget A,Hardware,51,2550.00,4.1,2024-01-20
5,North,Service Pro,Services,12,6000.00,4.5,2024-01-22
6,South,Gizmo C,Software,64,6400.00,4.4,2024-01-25
7,East,Widget B,Hardware,28,1400.00,3.6,2024-01-28
8,West,Service Pro,Services,8,4000.00,4.8,2024-02-01
9,North,Gizmo C,Software,92,9200.00,4.6,2024-02-03
10,South,Widget A,Hardware,37,1850.00,4.0,2024-02-05
11,East,Service Pro,Services,15,7500.00,4.3,2024-02-08
12,West,Widget B,Hardware,41,2050.00,3.9,2024-02-10
13,North,Gizmo C,Software,85,8500.00,4.7,2024-02-12
14,South,Service Pro,Services,10,5000.00,4.2,2024-02-15
15,East,Widget A,Hardware,55,2750.00,4.1,2024-02-17
16,West,Gizmo C,Software,71,7100.00,4.5,2024-02-20
17,North,Widget B,Hardware,33,1650.00,3.7,2024-02-22
18,South,Service Pro,Services,14,7000.00,4.6,2024-02-25
19,East,Widget A,Hardware,48,2400.00,4.0,2024-02-27
20,West,Gizmo C,Software,89,8900.00,4.8,2024-03-01
21,North,Service Pro,Services,11,5500.00,4.4,2024-03-04
22,South,Widget B,Hardware,29,1450.00,3.8,2024-03-06
23,East,Gizmo C,Software,76,7600.00,4.5,2024-03-08
24,West,Widget A,Hardware,53,2650.00,4.2,2024-03-11
25,North,Gizmo C,Software,94,9400.00,4.7,2024-03-13
26,South,Service Pro,Services,13,6500.00,4.3,2024-03-15
27,East,Widget B,Hardware,31,1550.00,3.9,2024-03-18
28,West,Service Pro,Services,9,4500.00,4.6,2024-03-20
29,North,Widget A,Hardware,44,2200.00,4.1,2024-03-22
30,South,Gizmo C,Software,68,6800.00,4.4,2024-03-25
