student_number,grade_level,gender,ethnicity,ell,sped,frl,gpa,attendance_pct,absences,tardies,referrals,suspensions
10001,9,F,Hispanic,N,N,Y,3.42,94.5,6,2,0,0
10002,9,M,White,N,Y,N,2.15,78.3,24,8,3,1
10003,9,F,Black,N,N,Y,3.78,96.8,4,1,0,0
10004,9,M,Asian,N,N,N,3.95,98.2,2,0,0,0
10005,9,F,Hispanic,Y,N,Y,2.88,85.6,16,5,1,0
10006,9,M,White,N,N,N,3.21,91.4,10,3,1,0
10007,9,F,Black,N,N,Y,2.45,81.2,21,7,2,0
10008,9,M,Hispanic,Y,Y,Y,1.92,72.8,30,12,4,2
10009,9,F,Asian,N,N,N,4.00,99.1,1,0,0,0
10010,9,M,White,N,N,Y,2.68,86.4,15,4,1,0
10011,10,F,Hispanic,N,N,Y,3.12,92.1,9,3,0,0
10012,10,M,Black,N,Y,Y,2.08,76.5,26,9,3,1
10013,10,F,White,N,N,N,3.65,95.7,5,1,0,0
10014,10,M,Asian,N,N,N,3.88,97.5,3,1,0,0
10015,10,F,Hispanic,Y,N,Y,2.76,83.9,18,6,2,0
10016,10,M,White,N,N,N,3.34,93.2,8,2,0,0
10017,10,F,Black,N,N,Y,2.92,88.1,14,4,1,0
10018,10,M,Hispanic,N,N,Y,2.21,79.4,22,8,2,1
10019,10,F,Asian,N,N,N,3.92,98.5,2,0,0,0
10020,10,M,White,N,N,Y,2.54,84.7,17,5,1,0
10021,11,F,Hispanic,N,N,Y,3.28,93.5,8,2,0,0
10022,11,M,Black,N,N,Y,2.72,87.2,15,4,1,0
10023,11,F,White,N,N,N,3.71,96.1,5,1,0,0
10024,11,M,Asian,N,N,N,3.85,97.8,3,0,0,0
10025,11,F,Hispanic,Y,N,Y,2.95,88.9,13,3,1,0
10026,11,M,White,N,Y,N,2.38,82.1,20,6,2,0
10027,11,F,Black,N,N,Y,3.15,91.8,9,2,0,0
10028,11,M,Hispanic,N,N,Y,2.61,85.3,16,5,1,0
10029,11,F,Asian,N,N,N,3.98,99.2,1,0,0,0
10030,11,M,White,N,N,N,3.45,94.1,7,2,0,0
10031,12,F,Hispanic,N,N,Y,3.52,94.8,6,1,0,0
10032,12,M,Black,N,N,Y,2.85,88.6,13,4,1,0
10033,12,F,White,N,N,N,3.82,96.9,4,1,0,0
10034,12,M,Asian,N,N,N,3.91,98.1,2,0,0,0
10035,12,F,Hispanic,N,N,Y,3.08,90.7,11,3,0,0
10036,12,M,White,N,N,N,3.48,94.2,7,2,0,0
10037,12,F,Black,N,N,Y,3.25,92.5,8,2,0,0
10038,12,M,Hispanic,Y,N,Y,2.68,86.1,15,5,1,0
10039,12,F,Asian,N,N,N,3.99,99.5,1,0,0,0
10040,12,M,White,N,N,N,3.61,95.4,6,1,0,0
10041,9,F,White,N,N,N,3.38,93.1,8,2,0,0
10042,9,M,Black,N,N,Y,2.52,83.5,19,6,2,0
10043,9,F,Hispanic,N,N,Y,3.05,90.2,11,3,0,0
10044,9,M,Asian,N,N,N,3.82,97.1,3,1,0,0
10045,9,F,White,N,Y,N,2.31,80.5,22,7,2,1
10046,10,M,Hispanic,N,N,Y,2.85,87.9,14,4,1,0
10047,10,F,Black,N,N,Y,3.42,93.8,7,2,0,0
10048,10,M,White,N,N,N,3.58,95.2,6,1,0,0
10049,10,F,Asian,N,N,N,3.95,98.8,2,0,0,0
10050,10,M,Hispanic,Y,Y,Y,2.05,75.2,28,10,3,2
10051,11,F,White,N,N,N,3.68,96.2,5,1,0,0
10052,11,M,Black,N,N,Y,2.48,82.9,20,6,2,0
10053,11,F,Hispanic,N,N,Y,3.18,91.5,10,3,0,0
10054,11,M,Asian,N,N,N,3.88,97.6,3,0,0,0
10055,11,F,White,N,N,N,3.75,96.5,4,1,0,0
10056,12,M,Hispanic,N,N,Y,2.92,89.3,12,3,0,0
10057,12,F,Black,N,N,Y,3.35,93.2,8,2,0,0
10058,12,M,White,N,N,N,3.72,96.1,5,1,0,0
10059,12,F,Asian,N,N,N,3.96,98.9,2,0,0,0
10060,12,M,Hispanic,N,N,Y,3.15,91.2,10,3,0,0
10061,9,F,Black,N,N,Y,2.62,85.8,17,5,1,0
10062,9,M,White,N,N,N,3.48,94.3,7,2,0,0
10063,9,F,Hispanic,Y,N,Y,2.78,86.9,15,4,1,0
10064,9,M,Asian,N,N,N,3.91,98.5,2,0,0,0
10065,9,F,White,N,N,N,3.52,94.8,6,1,0,0
10066,10,M,Black,N,N,Y,2.95,89.1,12,3,0,0
10067,10,F,Hispanic,N,N,Y,3.22,92.3,9,2,0,0
10068,10,M,White,N,N,N,3.65,95.8,5,1,0,0
10069,10,F,Asian,N,N,N,3.97,99.0,1,0,0,0
10070,10,M,Hispanic,N,N,Y,2.72,86.5,16,5,1,0
10071,11,F,Black,N,N,Y,3.08,90.5,11,3,0,0
10072,11,M,White,N,N,N,3.55,95.0,6,2,0,0
10073,11,F,Hispanic,N,N,Y,3.32,93.1,8,2,0,0
10074,11,M,Asian,N,N,N,3.82,97.2,3,1,0,0
10075,11,F,White,N,N,N,3.71,96.3,5,1,0,0
10076,12,M,Black,N,N,Y,3.05,90.8,11,3,0,0
10077,12,F,Hispanic,N,N,Y,3.42,93.5,7,2,0,0
10078,12,M,White,N,N,N,3.78,96.5,4,1,0,0
10079,12,F,Asian,N,N,N,3.94,98.7,2,0,0,0
10080,12,M,Hispanic,N,N,Y,3.28,92.8,9,2,0,0
